date,Open,High,Low,Close,Volume,overall_score_mean,overall_score_sum,overall_score_count,overall_score_std,overall_score_min,overall_score_max,dominant_sentiment,direct_impact_score_mean,direct_impact_score_std,indirect_impact_score_mean,indirect_impact_score_std,certainty_mean,certainty_std,dominant_action_suggestion,combined_impact,weighted_score,price_change,next_open,future_return_1d,future_return_2d,future_return_3d,future_return_5d,price_change_next,prev_volume_change,future_volume_change_1d,future_volume_change_3d,future_volume_change_5d,daily_amplitude,overnight_gap,intraday_volatility,close_deviation,true_range,atr_5,atr_10,turnover_ratio,price_volume_sync,relative_strength,open_strength,close_strength,intraday_vs_overnight,future_amplitude_1d,future_amplitude_3d,future_amplitude_5d,future_atr_1d,future_atr_3d,future_atr_5d,future_turnover_1d,future_turnover_3d,future_turnover_5d
2024-11-01,16.44,17.22,16.36,16.97,2514288,2.0,2.0,1.0,0.0,2.0,2.0,中性偏正,0.0,0.0,2.0,0.0,0.6,0.0,关注,1.0,1.2,0.025997581620314403,17.08,-0.0005854800936766491,0.019906323185011843,-0.0029274004683839117,-0.015807962529273967,-0.05854800936766491,0.36819565242233776,-0.4000050909044628,-0.23108052856315586,-0.10114593077642653,0.05067766647024157,-0.006045949214026458,0.05231143552311432,0.010720667063728394,0.8599999999999994,0.4980000000000004,0.5230000000000004,1.020456510661717,1.0,76.49685719531169,0.04744525547445241,0.037286063569682115,8.382072170230787,0.026362038664323333,0.03170874926600133,0.033908387864366465,0.5340000000000004,0.5780000000000008,0.588000000000001,0.6846736154303363,1.0497933792075549,1.2270007398723608
2024-11-04,17.08,17.14,16.69,17.07,1508560,0.0,,,,,,,0.0,,0.0,,0.0,,,,0.0,0.005892751915144379,16.98,0.025912838633686874,0.002944640753828054,-0.010011778563015383,-0.044169611307420475,2.5912838633686874,-0.4000050909044628,0.22980259320146357,0.8618775521026674,1.271745903378056,0.026362038664323333,0.006482027106658794,0.026346604215456634,0.009163464380727232,0.4499999999999993,0.5340000000000004,0.4730000000000004,0.6846736154303363,-1.0,3.1471914557477163,0.0035128805620610235,0.022768124625524206,4.066937327039124,0.03272101033295065,0.03569303985722793,0.04497843499691931,0.5800000000000004,0.6460000000000008,0.7000000000000007,0.9549361516793344,1.5338898380591455,1.7958946062007182
2024-11-05,16.98,17.44,16.87,17.42,1855231,2.0,2.0,1.0,0.0,2.0,2.0,中性偏正,0.0,0.0,2.0,0.0,0.6,0.0,关注,1.0,1.2,0.020503807850029476,17.37,-0.01957397812320094,-0.032239493379389916,-0.032239493379389916,-0.09614277489925172,-1.9573978123200941,0.22980259320146357,0.04207238882920783,0.21816528507770738,0.5396001899493919,0.03272101033295065,-0.005272407732864637,0.03356890459363959,0.015447391431069692,0.5700000000000003,0.5800000000000004,0.4880000000000006,0.9549361516793344,1.0,3.5741223200083163,0.027090694935217954,0.032602252519265004,6.2060731889642025,0.03170874926600133,0.033908387864366465,0.041401273885350455,0.5780000000000008,0.588000000000001,0.7280000000000009,1.0497933792075549,1.2270007398723608,1.4517996295573226
2024-11-06,17.37,17.42,16.88,17.03,1933285,0.0,,,,,,,0.0,,0.0,,0.0,,,,0.0,-0.022388059701492602,16.44,0.022506082725060716,0.022506082725060716,-0.012773722627737238,-0.04379562043795626,2.2506082725060716,0.04207238882920783,0.452840114106301,0.7726641441898117,-0.2551853451508701,0.03170874926600133,-0.002870264064293915,0.031088082901554556,-0.006997084548104808,0.5400000000000027,0.5780000000000008,0.49300000000000066,1.0497933792075549,-1.0,-9.642955143583155,0.0028785261945884115,0.008886255924170743,11.047289755517358,0.03569303985722793,0.04497843499691931,0.017175572519084054,0.6460000000000008,0.7000000000000007,0.6740000000000006,1.5338898380591455,1.7958946062007182,0.7309731123755057
2024-11-07,16.44,16.82,16.22,16.81,2808754,5.0,5.0,1.0,0.0,5.0,5.0,正面,3.0,0.0,2.0,0.0,0.8,0.0,关注,2.5,4.0,-0.012918379330593255,17.07,-0.015231400117164728,-0.04920913884007028,-0.08025776215582903,-0.10193321616871709,-1.5231400117164728,0.452840114106301,-0.19538058512778267,0.01693277517361791,-0.30671429395383154,0.03569303985722793,-0.034644744568408714,0.036496350364963584,0.017554479418886146,0.8100000000000023,0.6460000000000008,0.5210000000000008,1.5338898380591455,-1.0,-3.780011280424787,0.02311435523114349,0.03637484586929716,1.030258124263784,0.033908387864366465,0.041401273885350455,0.023483365949119338,0.588000000000001,0.7280000000000009,0.5960000000000001,1.2270007398723608,1.4517996295573226,0.9731245827186554
2024-11-08,17.07,17.31,16.74,16.81,2259978,0.0,,,,,,,0.0,,0.0,,0.0,,,,0.0,0.0,16.52,-0.017554479418886104,-0.049636803874092084,-0.048426150121065326,-0.0714285714285714,-1.7554479418886104,-0.19538058512778267,0.5164152040418093,-0.3628526472381589,-0.17540480482553367,0.033908387864366465,0.015466983938132062,0.03339191564147629,-0.012628487518355352,0.5700000000000003,0.588000000000001,0.5430000000000007,1.2270007398723608,-0.0,-0.0,0.014059753954305709,0.004181600955794521,2.1923062748973674,0.04497843499691931,0.017175572519084054,0.03780964797913951,0.7000000000000007,0.6740000000000006,0.5980000000000001,1.7958946062007182,0.7309731123755057,0.9391711612299086
2024-11-11,16.52,16.53,15.8,16.23,3427065,1.0,1.0,1.0,0.0,1.0,1.0,中性,0.0,0.0,1.0,0.0,0.6,0.0,观望,0.5,0.6,-0.03450327186198676,15.82,-0.007585335018963413,-0.006321112515802807,-0.030973451327433676,-0.02465233881163087,-0.7585335018963413,0.5164152040418093,-0.1665422161528889,-0.4317968874240786,-0.4862093365605846,0.04497843499691931,-0.017251635930993436,0.04418886198547218,0.004021033096195563,1.009999999999998,0.7000000000000007,0.6170000000000005,1.7958946062007182,-1.0,3.498902232881584,0.0006053268765134119,0.027215189873417703,2.607196738029113,0.041401273885350455,0.023483365949119338,0.025923525599481554,0.7280000000000009,0.5960000000000001,0.47600000000000053,1.4517996295573226,0.9731245827186554,0.9092962065724761
2024-11-12,15.82,16.17,15.52,15.7,2856314,-0.333,-1.0,3.0,1.155,-1.0,1.0,中性偏负,-1.667,0.577,1.333,0.577,0.533,0.115,观望,-0.16700000000000004,-0.177489,-0.03265557609365377,15.65,0.004472843450479269,-0.020447284345047945,-0.019808306709265255,0.017891373801916854,0.4472843450479269,-0.1665422161528889,-0.49587510336748686,-0.3475622778167946,-0.08938618093108808,0.041401273885350455,-0.025261860751694454,0.04108723135271821,-0.009151151782896898,0.7100000000000009,0.7280000000000009,0.6540000000000006,1.4517996295573226,1.0,1.5934953674857242,0.022123893805309824,0.011597938144329878,1.6388839248009153,0.017175572519084054,0.03780964797913951,0.02699309478970483,0.6740000000000006,0.5980000000000001,0.4780000000000001,0.7309731123755057,0.9391711612299086,1.3126918806392684
2024-11-13,15.65,15.89,15.62,15.72,1439939,0.0,,,,,,,0.0,,0.0,,0.0,,,,0.0,0.001273885350318471,15.62,-0.018565941101152283,-0.017925736235595346,-0.01216389244558258,0.008322663252240847,-1.8565941101152283,-0.49587510336748686,0.3523274249811972,0.22282541135423095,0.014297133420235086,0.017175572519084054,-0.0031847133757960666,0.017252396166134273,-0.0022215169787368053,0.27000000000000135,0.6740000000000006,0.6260000000000007,0.7309731123755057,-1.0,-0.08082691211392697,0.015335463258785955,0.006402048655569874,5.3931128366182755,0.023483365949119338,0.025923525599481554,0.022857142857142822,0.5960000000000001,0.47600000000000053,0.4959999999999997,0.9731245827186554,0.9092962065724761,0.7395037463767556
2024-11-14,15.62,15.66,15.3,15.33,1947269,-3.667,-22.0,6.0,1.033,-5.0,-3.0,中性偏负,-2.0,0.894,-1.667,0.516,0.7,0.063,关注,-1.8335,-2.5668999999999995,-0.024809160305343525,15.32,0.0013054830287206887,0.007180156657963455,0.03981723237597912,0.036553524804177506,0.13054830287206887,0.3523274249811972,-0.042984302631018156,0.3357163288687901,-0.30478326312389303,0.023483365949119338,-0.006361323155216425,0.023047375160051183,-0.009689922480620177,0.41999999999999993,0.5960000000000001,0.6210000000000004,0.9731245827186554,-1.0,1.3677387898204085,0.0025608194622279722,0.001960784313725448,3.691579324038781,0.03780964797913951,0.02699309478970483,0.016372795969773285,0.5980000000000001,0.4780000000000001,0.4639999999999997,0.9391711612299086,1.3126918806392684,0.688548743504106
2024-11-15,15.32,15.82,15.24,15.34,1863567,5.0,15.0,3.0,0.0,5.0,5.0,正面,3.0,0.0,2.0,0.0,0.8,0.1,关注,2.5,4.0,0.000652315720808927,15.48,-0.003229974160206761,0.029069767441860517,0.01744186046511631,0.0,-0.3229974160206761,-0.042984302631018156,-0.05514854040665029,-0.2162739520500202,-0.3279388398699913,0.03780964797913951,-0.000652315720808816,0.037859007832898174,-0.012234385061172007,0.5800000000000001,0.5980000000000001,0.5930000000000005,0.9391711612299086,-1.0,-0.03622295594662225,0.03263707571801566,0.006561679790026223,57.96130180526912,0.025923525599481554,0.022857142857142822,0.028423772609819088,0.47600000000000053,0.4959999999999997,0.4359999999999996,0.9092962065724761,0.7395037463767556,0.6412458867762079
2024-11-18,15.48,15.71,15.31,15.43,1760794,3.0,6.0,2.0,0.0,3.0,3.0,中性偏正,1.0,0.0,2.0,0.0,0.6,0.0,关注,1.5,1.7999999999999998,0.005867014341590648,15.72,0.013358778625954137,0.00190839694656475,0.010178117048346147,-0.028625954198473358,1.3358778625954137,-0.05514854040665029,0.47717393403203334,-0.2311570802717411,-0.31966374260702846,0.025923525599481554,0.009126466753585527,0.02583979328165377,-0.005157962604771234,0.40000000000000036,0.47600000000000053,0.5880000000000006,0.9092962065724761,-1.0,-0.5905818999412453,0.014857881136950931,0.00783801436969296,2.840474621194532,0.02699309478970483,0.016372795969773285,0.03732809430255405,0.4780000000000001,0.4639999999999997,0.4699999999999996,1.3126918806392684,0.688548743504106,0.6138176243294635
2024-11-19,15.72,16.15,15.72,15.93,2600999,4.5,18.0,4.0,1.732,3.0,6.0,中性偏正,2.0,1.155,2.5,0.577,0.75,0.058,关注,2.25,3.375,0.032404406999351876,16.01,-0.016239850093691555,-0.008119925046845777,-0.033104309806371135,-0.04684572142411003,-1.6239850093691555,0.47717393403203334,-0.4384749859573187,-0.5184807837296361,-0.6483958663575033,0.02699309478970483,0.0187945560596241,0.027353689567429892,-0.00031377470975833105,0.7199999999999989,0.4780000000000001,0.6030000000000004,1.3126918806392684,1.0,10.528765476029273,0.027353689567429892,0.01335877862595414,1.4362180379196636,0.022857142857142822,0.028423772609819088,0.02031454783748365,0.4959999999999997,0.4359999999999996,0.3879999999999999,0.7395037463767556,0.6412458867762079,0.4766110512212962
2024-11-20,16.01,16.02,15.66,15.75,1460526,-0.5,-2.0,4.0,0.577,-1.0,0.0,中性偏负,-1.5,0.577,1.0,0.0,0.6,0.082,观望,-0.25,-0.3,-0.011299435028248594,15.76,0.0076142131979695105,-0.017766497461928932,-0.03109137055837563,-0.022842639593908642,0.761421319796951,-0.4384749859573187,-0.07309147526302173,-0.1797941289644963,-0.2455943954438332,0.022857142857142822,0.005021971123666091,0.02248594628357273,-0.005681818181818173,0.35999999999999943,0.4959999999999997,0.5850000000000002,0.7395037463767556,1.0,-20.06867758814521,0.0006246096189880081,0.0057471264367816004,4.551419508414421,0.016372795969773285,0.03732809430255405,0.022727272727272704,0.4639999999999997,0.4699999999999996,0.38599999999999995,0.688548743504106,0.6138176243294635,0.5815210581821364
2024-11-21,15.76,15.95,15.69,15.88,1353774,4.0,16.0,4.0,2.449,2.0,7.0,中性偏正,1.25,1.5,2.75,0.957,0.675,0.096,关注,2.0,2.7,0.008253968253968402,15.9,-0.026415094339622636,-0.039622641509434064,-0.040251572327044016,-0.04088050314465408,-2.6415094339622636,-0.07309147526302173,-0.07485961467719127,-0.32446479249860016,-0.3561798350389356,0.016372795969773285,0.0006349206349205438,0.016497461928933997,0.0037926675094817003,0.2599999999999998,0.4639999999999997,0.5299999999999999,0.688548743504106,-1.0,1.1502723912148551,0.012055837563451745,0.012109623964308558,25.78674751112332,0.028423772609819088,0.02031454783748365,0.017049180327868837,0.4359999999999996,0.3879999999999999,0.38599999999999995,0.6412458867762079,0.4766110512212962,0.4720384534021883
2024-11-22,15.9,15.92,15.48,15.48,1252431,3.0,3.0,1.0,0.0,3.0,3.0,中性偏正,1.0,0.0,2.0,0.0,0.8,0.0,关注,1.5,2.4000000000000004,-0.02518891687657432,15.6,-0.02115384615384619,-0.02179487179487183,-0.012820512820512775,-0.011538461538461497,-2.115384615384619,-0.07485961467719127,-0.043514572858704414,-0.120247742190987,0.1278896801500442,0.028423772609819088,0.0012594458438286438,0.027672955974842737,-0.014012738853503112,0.4399999999999995,0.4359999999999996,0.5169999999999998,0.6412458867762079,1.0,-12.547921097396252,0.001257861635220099,0.0,22.568296259925336,0.03732809430255405,0.022727272727272704,0.03307392996108948,0.4699999999999996,0.38599999999999995,0.4,0.6138176243294635,0.5815210581821364,0.788570395032121
2024-11-25,15.6,15.76,15.19,15.27,1197932,0.0,,,,,,,0.0,,0.0,,0.0,,,,0.0,-0.013565891472868241,15.12,0.0092592592592593,0.0185185185185186,0.008597883597883715,0.010582010582010692,0.92592592592593,-0.043514572858704414,-0.23658271087173566,-0.272423643412147,0.40541950628249346,0.03732809430255405,0.007751937984496138,0.036538461538461554,-0.013247172859450733,0.5700000000000003,0.4699999999999996,0.47300000000000003,0.6138176243294635,1.0,7.21911136066003,0.010256410256410265,0.00526662277814352,4.815317953269305,0.02031454783748365,0.017049180327868837,0.0176701570680628,0.3879999999999999,0.38599999999999995,0.33999999999999986,0.4766110512212962,0.4720384534021883,0.9352797846186143
2024-11-26,15.12,15.4,15.09,15.26,914522,0.0,,,,,,,0.0,,0.0,,0.0,,,,0.0,-0.0006548788474132206,15.27,0.00851342501637209,-0.0013097576948264411,0.00982318271119853,0.003929273084479323,0.8513425016372089,-0.23658271087173566,0.20481409960613295,0.544636433021841,0.6355221634908728,0.02031454783748365,-0.00982318271119842,0.020502645502645536,0.0009839291571006094,0.3100000000000005,0.3879999999999999,0.433,0.4766110512212962,1.0,0.0771260444749416,0.018518518518518594,0.011265738899933726,2.0680188646126334,0.022727272727272704,0.03307392996108948,0.02283105022831048,0.38599999999999995,0.4,0.3479999999999997,0.5815210581821364,0.788570395032121,0.8392910404933303
2024-11-27,15.27,15.4,15.05,15.4,1101829,-1.0,-1.0,1.0,0.0,-1.0,-1.0,中性,0.0,0.0,-1.0,0.0,0.8,0.0,观望,-0.5,-0.8,0.00917431192660545,15.37,-0.00780741704619381,0.003253090435914263,-0.005855562784645385,,-0.780741704619381,0.20481409960613295,-0.20896345984721765,0.5280020765472682,,0.022727272727272704,0.000655307994757548,0.022920759659462976,0.011494252873563147,0.34999999999999964,0.38599999999999995,0.44099999999999984,0.5815210581821364,1.0,-2.0868392974578174,0.008513425016372023,0.023255813953488347,34.68128894534821,0.017049180327868837,0.0176701570680628,,0.38599999999999995,0.33999999999999986,,0.4720384534021883,0.9352797846186143,
2024-11-28,15.37,15.44,15.18,15.25,871587,0.0,,,,,,,0.0,,0.0,,0.0,,,,0.0,-0.009740259740259716,15.32,0.006527415143602999,-0.0026109660574412663,0.0006527415143602333,,0.6527415143602999,-0.20896345984721765,0.6207263302458619,0.7160891569057364,,0.017049180327868837,-0.001948051948052032,0.016916070266753402,-0.003919007184846422,0.2599999999999998,0.38599999999999995,0.4249999999999998,0.4720384534021883,1.0,1.218276072470095,0.004554326610279784,0.004611330698287239,8.75186764205173,0.03307392996108948,0.02283105022831048,,0.4,0.3479999999999997,,0.788570395032121,0.8392910404933303,
2024-11-29,15.32,15.66,15.15,15.42,1412604,0.0,,,,,,,0.0,,0.0,,0.0,,,,0.0,0.011147540983606596,15.44,-0.010362694300518172,-0.007124352331606132,,,-1.0362694300518172,0.6207263302458619,0.1918393265203837,,,0.03307392996108948,0.00459016393442635,0.033289817232375965,0.0009737098344692497,0.5099999999999998,0.4,0.4179999999999998,0.788570395032121,1.0,-15.316229033929725,0.022193211488250642,0.017821782178217793,7.205376186953326,0.0176701570680628,,,0.33999999999999986,,,0.9352797846186143,,
2024-12-02,15.44,15.49,15.22,15.28,1683597,-2.0,-2.0,1.0,0.0,-2.0,-2.0,中性偏负,-1.0,0.0,-1.0,0.0,0.6,0.0,观望,-1.0,-1.2,-0.00907911802853445,15.31,0.001306335728282093,,,,0.1306335728282093,0.1918393265203837,-0.11159202588267858,,,0.0176701570680628,0.0012970168612191912,0.017487046632124324,-0.00488440247476399,0.2699999999999996,0.33999999999999986,0.4049999999999997,0.9352797846186143,-1.0,-53.55487361149565,0.0032383419689119633,0.003942181340341571,13.623586061627933,0.02283105022831048,,,0.3479999999999997,,,0.8392910404933303,,
2024-12-03,15.31,15.35,15.0,15.33,1495721,7.0,7.0,1.0,0.0,7.0,7.0,强烈正面,4.0,0.0,3.0,0.0,0.9,0.0,强烈关注,3.5,6.3,0.00327225130890052,,,,,,,-0.11159202588267858,,,,0.02283105022831048,0.0019633507853404897,0.022860875244937927,0.010214168039538672,0.34999999999999964,0.3479999999999997,0.36799999999999977,0.8392910404933303,-1.0,3.426601583287018,0.002612671456564281,0.022000000000000006,11.628555688174794,,,,,,,,,
